Name,Mass,Diameter,Density,Gravity,EscapeVelocity,RotationPeriod,LengthOfDay,DistanceFromSun,Perihelion,Aphelion,OrbitalPeriod,OrbitalVelocity,OrbitalInclination,OrbitalEccentricity,ObliquityToOrbit,Orbiting,Red,Green,Blue
Sun,1989100000000000000000000.0000,1392700,1408,274,615,27,1,0,0,0,1,1,0,0,0,0,255,255,255
Mercury,0.33,4879,5429,3.7,4.3,1407.6,4222.6,57900000,46000000,69800000,88,47.4,7,0.206,0.034,0,26,26,26
Venus,4.87,12104,5243,8.9,10.4,-5832.5,2802,108200000,107500000,108900000,224.7,35,3.4,0.007,177.4,0,230,230,230
Earth,5.97,12756,5514,9.8,11.2,23.9,24,149600000,147100000,152100000,365.2,29.8,0,0.017,23.4,0,47,106,105
 ,0.073,3475,3340,1.6,2.4,655.7,708.7,396756,363000,406000,27.3,1,5.1,0.055,6.7,3,200,200,200
Mars,0.642,6792,3934,3.7,5,24.6,24.7,228000000,206700000,249300000,687,24.1,1.8,0.094,25.2,0,153,61,0
Jupiter,1898,142984,1326,23.1,59.5,9.9,9.9,778500000,740600000,816400000,4331,13.1,1.3,0.049,3.1,0,176,127,53
Saturn,568,120536,687,9,35.5,10.7,10.7,1432000000,1357600000,1506500000,10_747,9.7,2.5,0.052,26.7,0,176,143,54
Uranus,86.8,51118,1270,8.7,21.3,-17.2,17.2,2867000000,2732700000,3001400000,30_589,6.8,0.8,0.047,97.8,0,85,128,170
Neptune,102,49528,1638,11,23.5,16.1,16.1,4515000000,4471100000,4558900000,59_800,5.4,1.8,0.01,28.3,0,54,104,150
Pluto,0.013,2376,1850,0.7,1.3,-153.3,153.3,5906400000,4436800000,7375900000,90_560,4.7,17.2,0.244,122.5,0,255,255,255
